0.174	9.22E3	7.67E3	8.45E3	3.87E2
0.203	3.89E3	1.81E3	2.85E3	5.21E2
0.232	6.32E3	3.42E3	4.87E3	7.25E2
0.261	9.61E3	5.61E3	7.61E3	9.99E2
0.29	1.56E4	1.03E4	1.29E4	1.33E3
0.319	2.07E4	1.37E4	1.72E4	1.74E3
0.349	8.32E4	7.42E4	7.87E4	2.23E3
0.523	7.09E4	4.13E4	5.61E4	7.40E3
0.552	3.20E4	0	1.44E4	8.71E3
0.581	4.43E4	3.60E3	2.39E4	1.02E4
0.61	6.38E4	1.69E4	4.04E4	1.17E4
0.639	1.11E5	5.70E4	8.38E4	1.34E4
0.668	2.62E5	2.00E5	2.31E5	1.54E4
0.697	2.28E5	1.58E5	1.93E5	1.75E4
0.726	4.25E4	0	-3.93E3	1.98E4
0.755	1.22E5	3.29E4	7.75E4	2.23E4
0.929	1.35E6	1.19E6	1.27E6	4.16E4
0.958	7.01E4	0	-6.04E4	4.56E4
0.987	5.91E4	0	-1.15E5	4.99E4
1.017	3.24E5	1.06E5	2.15E5	5.44E4
1.046	5.32E5	2.96E5	4.14E5	5.91E4
1.075	2.42E5	0	1.13E5	6.38E4
1.104	7.41E4	0	-1.92E5	6.96E4
1.133	8.57E4	0	-1.86E5	7.53E4
1.162	1.13E5	0	-1.36E5	8.12E4
1.191	4.65E5	1.15E5	2.90E5	8.75E4
1.365	2.32E6	1.80E6	2.06E6	1.32E5
1.394	7.22E5	1.60E5	4.41E5	1.40E5
1.423	5.48E5	0	2.46E5	1.49E5
1.452	6.58E5	2.24E4	3.40E5	1.59E5
1.481	4.67E5	0	1.19E5	1.65E5
1.51	6.16E5	0	2.64E5	1.73E5
1.539	1.48E6	7.24E5	1.10E6	1.89E5
1.568	2.05E6	1.25E6	1.65E6	2.00E5
1.597	1.73E6	8.90E5	1.31E6	2.11E5
